GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0019637	organophosphate metabolic process	6.67006835444552e-06	5.17059562360118e-09	51	350	444	7166	0.00%	0.00	ADE16, GLK1, THI6, SDT1, IDP2, BUD16, PNP1, FMN1, AYR1, COX4, ATP4, YMR315W, YNL200C, COX13, GDE1, GPM2, YCL047C, NQM1, TKL2, PNC1, SNZ1, HXK1, YLR345W, QCR2, AAH1, YKL151C, SOL4, SIW14, BNA5, PFK26, GFA1, SNZ3, NDI1, ADK1, ATP20, TDH1, CYC7, ALD4, GND2, FBP26, TAL1, ATP17, COX2, INO1, POS5, SNZ2, GCY1, GPD1, DAK2, YBR145W, IMD2
GO:1901575	organic substance catabolic process	8.4523252615459e-06	6.55219012522938e-09	74	350	778	7166	0.00%	0.00	PRB1, DLD1, YCL047C, DAL3, ARO10, YJR096W, GPM2, RNT1, MCK1, GDE1, STP22, AAH1, GDB1, YLR345W, GRE3, DAL7, HXK1, ALD3, PNP1, HSP32, SDT1, GPH1, GLK1, PDC6, SHM2, PKH1, SSA3, GGA1, CDC16, AYR1, ALT1, EXG1, GOR1, YDR248C, VID22, YBR208C, GND2, ALD2, GCV2, SAF1, CDD1, DAK2, YBR145W, UBC4, GDH2, DCS1, XKS1, GCY1, ISC1, GPD1, CIT1, YIL160C, GAD1, ECM38, SNO4, ADD37, CPS1, SIW14, DCS2, BNA5, IMA1, ATP25, UGA2, HSP33, EHT1, ADH4, NMA111, UGA1, IGD1, AMS1, TDH1, PAD1, DAL81, HSL1
GO:0006081	cellular aldehyde metabolic process	9.70677879560877e-06	7.52463472527812e-09	15	350	50	7166	0.00%	0.00	NQM1, HSP32, BUD16, HSP33, TKL2, GOR1, GND2, IDP2, SOL4, TAL1, SNZ2, SNO4, SNZ1, SNZ3, DAL7
GO:0034599	cellular response to oxidative stress	1.67664200686497e-05	1.29972248594184e-08	22	350	111	7166	0.00%	0.00	MXR1, SOD1, POS5, TRR2, UGA2, LOT6, NQM1, TSA2, YJR096W, PRX1, TDA1, MCR1, SRX1, YDL124W, HSP12, CMK1, GRE3, GRX4, GCY1, MXR2, GAD1, AHP1
GO:1901605	alpha-amino acid metabolic process	1.77110572104186e-05	1.37295017135028e-08	29	350	183	7166	0.00%	0.00	BNA5, UGA2, MHT1, ARG4, PDC6, SHM2, MET13, SPE1, SAM4, LYS1, ARG7, ALT1, ARG1, GFA1, SER3, MET14, ARG8, ARO10, ILV5, HIS5, GCV2, HIS3, GDH2, IDH2, IDH1, LYS4, GAD1, YLL058W, STR2
GO:0006796	phosphate-containing compound metabolic process	4.17529459081825e-05	3.23666247350252e-08	71	350	761	7166	0.00%	0.00	MCK1, COX13, GDE1, GPM2, LCB5, YNL200C, TKL2, PNC1, YCL047C, NQM1, PHO5, SNZ1, HXK1, AAH1, YKL151C, YLR345W, QCR2, THI6, SDT1, IDP2, TDA1, ADE16, GLK1, PNP1, BUD16, FMN1, COX4, AYR1, SDS22, ATP4, YMR315W, DUN1, PKH1, TAL1, TPK3, ALD4, GND2, PHO81, FBP26, MET14, COX2, INO1, SHO1, POS5, YDR248C, ATP17, YHR030C, XKS1, GCY1, GPD1, SNZ2, DAK2, YBR145W, IMD2, CMK1, SOL4, PHO11, RIM15, SIW14, BNA5, RPP2B, HSL1, SNZ3, NDI1, GFA1, SMK1, PFK26, CYC7, ADK1, ATP20, TDH1
GO:1901615	organic hydroxy compound metabolic process	4.36898951445179e-05	3.38681357709441e-08	25	350	147	7166	0.00%	0.00	ERG27, MCR1, PDC6, CYB2, SIW14, BUD16, HSP32, HSP33, ADH4, SNZ3, BDH2, YNR073C, DLD3, ALD4, LCB5, DLD1, INO1, DSF1, ARO10, GCY1, SNZ2, SNO4, SNZ1, DAK2, YBR145W
GO:0046395	carboxylic acid catabolic process	6.65532365789461e-05	5.15916562627489e-08	20	350	100	7166	0.00%	0.00	PDC6, UGA1, GND2, DLD1, GOR1, BNA5, ADH4, UGA2, ARO10, EHT1, YDR248C, DAL81, PAD1, YIL160C, ALT1, GAD1, GCV2, YBR145W, SHM2, GDH2
GO:0008652	cellular amino acid biosynthetic process	7.36615107655214e-05	5.71019463298616e-08	23	350	130	7166	0.00%	0.00	ALD3, LYS4, YLL058W, STR2, IDH1, HIS3, IDH2, ALD2, HIS5, ILV5, ARG8, MET14, SER3, ARG1, ARG7, ALT1, SAM4, LYS1, SHM2, MET13, ARG4, MHT1, MET5
GO:0016054	organic acid catabolic process	7.93339927103334e-05	6.14992191552972e-08	20	350	101	7166	0.00%	0.00	SHM2, GDH2, GCV2, YBR145W, YIL160C, GAD1, ALT1, DAL81, PAD1, UGA2, ARO10, YDR248C, EHT1, ADH4, DLD1, GOR1, BNA5, GND2, UGA1, PDC6
GO:0009056	catabolic process	0.000136990562142522	1.0619423421901e-07	85	350	1006	7166	0.00%	0.00	ALD3, HXK1, DAL7, YLR345W, GRE3, GDB1, AAH1, STP22, MCK1, TSA2, GDE1, YJR096W, GPM2, RNT1, ARO10, DAL3, YCL047C, PRB1, DLD1, ALT1, AYR1, SSA3, GGA1, CDC16, SHM2, PKH1, PDC6, GLK1, GPH1, YPT6, SDT1, PNP1, HSP32, GAD1, ADD37, ECM38, SNO4, CIT1, YIL160C, VTC3, DCS1, XKS1, GCY1, ISC1, GPD1, UBC4, GDH2, ATG23, DAK2, YBR145W, GCV2, SAF1, CDD1, ALD2, YBR208C, GND2, VID22, YDR248C, YHR030C, GOR1, EXG1, AHP1, HSL1, VTC4, DAL81, CTT1, PAD1, VTC2, TDH1, IGD1, AMS1, RIM15, UGA1, NMA111, TPS2, HSP33, UGA2, EHT1, ADH4, ATP25, SIW14, DCS2, IMA1, BNA5, CPS1
GO:0006739	NADP metabolic process	0.000819037736928647	6.34912974363292e-07	9	350	23	7166	0.00%	0.00	IDP2, SOL4, TAL1, GND2, ALD4, POS5, TKL2, NQM1, YMR315W
GO:1901564	organonitrogen compound metabolic process	0.000821406294967643	6.3674906586639e-07	162	350	2432	7166	0.00%	0.00	AIM17, DPS1, MRPL23, RPL33A, MET5, MTF2, PNP1, IMG1, IDP2, SDT1, BUD27, THI6, PDC6, SHM2, CDC16, VAR1, HOC1, FMP40, ALT1, PNC1, PRB1, SER3, TKL2, YCL047C, DAL3, RML2, YNL200C, STP22, LCB5, TAF9, AAH1, ANB1, IDH2, HIS3, MRPL24, CBP3, NCS6, BUL1, HXK1, MRPL49, SNZ1, ALD3, ACS1, SIW14, RPP2B, ADH4, RPL8A, UGA1, SRO9, RMT2, TDH1, GRX4, DCN1, ADK1, ATP20, DAL81, NDI1, SNZ3, SPE1, PBI2, MRPS5, MRPL10, SHO1, ARG8, CBP6, MET14, GTT1, COX2, ILV5, ATP17, YHR030C, RPS29B, VID22, TPK3, TAL1, YBR208C, SWD2, CDD1, GCV2, CMK1, IMD2, YBR145W, UBC4, MRPL22, GPD1, ISC1, MRPL9, SNZ2, ECM38, LYS4, ARG4, FMN1, MHT1, BUD16, MET3, GLK1, ADE16, TDA1, SLM5, SDS22, PKH1, GCN3, ATP4, GGA1, YMR315W, DUN1, SSA3, LYS1, COX4, YHR138C, ARG1, MXR2, MRPS35, NQM1, ARO10, RNT1, GPM2, COX13, MCK1, CAT2, YKL151C, QCR2, YLR345W, IDH1, DAL7, STR2, CPS1, BNA5, MTQ2, UGA2, ACS2, SOL4, YIL108W, NMA111, RIM15, CYC7, FRA1, MET13, MRP21, HSL1, SAM4, SMK1, GFA1, ARG7, SDS3, POS5, GPG1, HIS5, YLR150W, PHO81, GND2, ALD4, ALD2, RPL21B, RIB5, TFS1, SAF1, GDH2, KTR4, YLL058W, ADD37, GAD1
GO:1901617	organic hydroxy compound biosynthetic process	0.000965630060447748	7.48550434455619e-07	17	350	87	7166	0.00%	0.00	SNZ2, SNO4, SNZ1, SNZ3, BDH2, YBR145W, MCR1, PDC6, LCB5, DLD3, ERG27, ARO10, HSP33, BUD16, HSP32, ADH4, INO1
GO:0072350	tricarboxylic acid metabolic process	0.00154952152005681	1.20117947291226e-06	10	350	31	7166	0.00%	0.00	SDH2, CIT1, ARG1, DAL7, MDH2, IDH1, ACO1, IDP2, IDH2, MDH1
GO:0019693	ribose phosphate metabolic process	0.00155215471038626	1.20322070572579e-06	25	350	176	7166	0.00%	0.00	ATP4, ADK1, ATP20, TDH1, CYC7, COX4, NDI1, FMN1, ADE16, GLK1, SOL4, YLR345W, QCR2, YBR145W, IMD2, HXK1, SNZ2, ATP17, NQM1, TKL2, COX2, GND2, TAL1, COX13, GPM2
GO:1901607	alpha-amino acid biosynthetic process	0.00170359944277676	1.32061972308276e-06	20	350	121	7166	0.00%	0.00	HIS3, IDH2, SHM2, MET13, LYS4, ARG7, STR2, YLL058W, ALT1, ARG1, LYS1, SAM4, IDH1, MHT1, ARG4, ILV5, MET14, SER3, ARG8, HIS5
GO:0009126	purine nucleoside monophosphate metabolic process	0.00222394362321684	1.72398730481926e-06	20	350	123	7166	0.00%	0.00	ADK1, ATP4, ATP20, YLR345W, QCR2, TDH1, AAH1, IMD2, YBR145W, CYC7, HXK1, SNZ2, COX4, NDI1, ATP17, COX2, ADE16, GLK1, COX13, GPM2
GO:0009167	purine ribonucleoside monophosphate metabolic process	0.00222394362321684	1.72398730481926e-06	20	350	123	7166	0.00%	0.00	GLK1, ADE16, GPM2, COX13, ATP17, COX2, SNZ2, HXK1, NDI1, COX4, QCR2, TDH1, YLR345W, ATP4, ADK1, ATP20, CYC7, AAH1, YBR145W, IMD2
GO:0044238	primary metabolic process	0.00226011137513669	1.75202432181139e-06	233	350	3907	7166	0.00%	0.00	PDC6, IDP2, BUD27, SDT1, MET5, DPS1, FMP40, BDF1, SHM2, STP22, LCB5, RML2, YCL047C, PNC1, SNZ1, BUL1, HXK1, NCS6, YMR196W, IDH2, HIS3, TMA17, TAF9, MCR1, SML1, HSP104, RPL8A, GIP2, SIW14, PBI2, DCN1, TDH1, RMT2, SWD2, TAL1, TPK3, MEC3, YHR030C, CBP6, PUS9, SDH2, ECM38, YIL160C, SNZ2, CIT1, EXO84, ISC1, GPD1, MSH1, DCS1, UBC4, MRPL22, TPS1, MAK5, GCV2, CMK1, ADE16, ETR1, TDA1, GLK1, GPH1, MET3, ARG4, FMN1, PCK1, MXR2, LYS1, YMR315W, GGA1, ATP4, DUN1, SDS22, MSC1, CAT2, GDE1, MCK1, COX13, YJR096W, ARO10, NQM1, STR2, YLR345W, GRE3, MED1, QCR2, YKL151C, RPF1, GDB1, RIM15, SOL4, CWC2, IMA1, DCS2, GFA1, AMS1, CYC7, ALD2, GSY1, GND2, PHO81, YLR150W, DSF1, INO1, EXG1, YLL058W, ADD37, KTR4, MDH2, GCY1, SAF1, RAD2, ERG27, IMG1, MTF2, PNP1, RPL33A, MRPL23, GLC3, ALT1, HOC1, VAR1, AYR1, YNR073C, CDC16, YLR455W, YNL200C, UTP18, DAL3, DPB4, SER3, TKL2, FAA1, PRB1, MRPL49, ALD3, CBP3, MRPL24, ANB1, AAH1, SRO9, TOP1, UGA1, RPP2B, ADH4, DPB2, SDH7, ACS1, MRPS5, SPE1, DHR2, DAL81, NDI1, SNZ3, ATP20, ADK1, GRX4, IGD1, FBP26, ATP17, RPS29B, VID22, ILV5, GSY2, MET14, COX2, GTT1, ARG8, SHO1, MRPL10, LYS4, MRPL9, HCA4, IMD2, YBR145W, CDD1, MHT1, YHR138C, ARG1, RPC19, MSC3, COX4, ACO1, YML100W, TOD6, SSA3, GCN3, PKH1, SLM5, RTC3, SUA7, RNT1, GPM2, MRPS35, DAL7, IDH1, YIL108W, NMA111, ACS2, BGL2, UGA2, TPS2, EHT1, MTQ2, ATP25, BNA5, CPS1, SOD1, ARG7, SMK1, PFK26, SAM4, HSL1, MRP21, MET13, FRA1, ARA1, RPL21B, ALD4, HIS5, NOP19, RPA190, YDR248C, GPG1, NSR1, MDH1, SDS3, POS5, GAD1, XKS1, GDH2, SEN1, DAK2, TFS1
GO:0072521	purine-containing compound metabolic process	0.00229996197876925	1.78291626261182e-06	24	350	168	7166	0.00%	0.00	ADK1, ATP4, YLR345W, ATP20, TDH1, QCR2, YBR145W, IMD2, AAH1, CYC7, HXK1, SNZ2, SAM4, DAL7, COX4, NDI1, ATP17, PNP1, DAL3, COX2, ADE16, GLK1, COX13, GPM2
GO:0009161	ribonucleoside monophosphate metabolic process	0.00416690461065216	3.23015861290865e-06	21	350	139	7166	0.00%	0.00	COX2, ATP17, FMN1, COX13, GPM2, ADE16, GLK1, AAH1, IMD2, YBR145W, CYC7, ATP20, ATP4, ADK1, YLR345W, QCR2, TDH1, COX4, NDI1, SNZ2, HXK1
GO:0009060	aerobic respiration	0.00555495985937991	4.30617043362784e-06	16	350	88	7166	0.00%	0.00	ETR1, PLN1, COX13, IDP2, MDH1, COX2, SDH2, CIT1, COX4, MDH2, DAL7, IDH1, ACO1, IDH2, QCR2, CYC7
GO:0006089	lactate metabolic process	0.00629514914178634	4.87996057502817e-06	6	350	11	7166	0.00%	0.00	SNO4, HSP33, HSP32, CYB2, DLD3, DLD1
GO:0016052	carbohydrate catabolic process	0.00673290347471783	5.21930501916111e-06	18	350	110	7166	0.00%	0.00	XKS1, GCY1, HXK1, DAK2, GDB1, IGD1, AMS1, GRE3, YLR345W, TDH1, GPH1, GPM2, YJR096W, GND2, GLK1, IMA1, EXG1, YDR248C
GO:0009063	cellular amino acid catabolic process	0.00723263538727176	5.60669409866028e-06	13	350	61	7166	0.00%	0.00	BNA5, ARO10, UGA2, ADH4, UGA1, PDC6, GCV2, YBR145W, SHM2, GDH2, DAL81, GAD1, ALT1
GO:0045333	cellular respiration	0.00875289944158891	6.7851933655728e-06	18	350	112	7166	0.00%	0.00	MDH1, COX2, SOD1, ETR1, PLN1, COX13, IDP2, IDH2, QCR2, CYC7, SDH2, CIT1, COX4, MDH2, DAL7, IDH1, NDI1, ACO1
